country,iso2,iso3,project,wikidata_id,page_id,page_title,date,roll_pct_pageviews,roll_cases,roll_n_articles,roll_n_studies
United States,US,USA,en.wikipedia,Q199615,37636,Encephalitis,2022-05-10,2.471700714891899e-7,1.5,0,0
United States,US,USA,en.wikipedia,Q38933,46253,Fever,2022-05-10,1.6347697035949296e-7,1.5,0,0
United States,US,USA,en.wikipedia,Q7476596,5069414,Genital herpes,2022-05-10,NA,1.5,0,0
United States,US,USA,en.wikipedia,Q208726,188665,Genital wart,2022-05-10,NA,1.5,0,0
United States,US,USA,en.wikipedia,Q86,69893,Headache,2022-05-10,NA,1.5,0,0
United States,US,USA,en.wikipedia,Q6473911,21323216,Herpes,2022-05-10,NA,1.5,0,0
United States,US,USA,en.wikipedia,Q6473911,21323216,Herpes simplex,2022-05-10,3.070523965013085e-7,1.5,0,0
United States,US,USA,en.wikipedia,Q655331,4774419,Herpes simplex virus,2022-05-10,2.7542315658392834e-7,1.5,0,0
United States,US,USA,en.wikipedia,Q827023,324927,Lesion,2022-05-10,NA,1.5,0,0
United States,US,USA,en.wikipedia,Q474959,149467,Myalgia,2022-05-10,NA,1.5,0,0
United States,US,USA,en.wikipedia,Q740335,2591633,Orthopoxvirus,2022-05-10,NA,1.5,0,0
United States,US,USA,en.wikipedia,Q182155,443800,Shingles,2022-05-10,4.704109052880772e-7,1.5,0,0
United States,US,USA,en.wikipedia,Q12214,16829895,Smallpox,2022-05-10,4.605785947519628e-7,1.5,0,0
United States,US,USA,en.wikipedia,Q1292082,310094,Sore throat,2022-05-10,1.879985159134169e-7,1.5,0,0
United States,US,USA,en.wikipedia,Q101971,34049,Wart,2022-05-10,1.8657697704072567e-7,1.5,0,0
United States,US,USA,en.wikipedia,Q382370,242702,Mpox,2022-05-10,0,1.5,0,0
United States,US,USA,en.wikipedia,Q199615,37636,Encephalitis,2022-05-11,2.471700714891899e-7,1.2,0,0
United States,US,USA,en.wikipedia,Q38933,46253,Fever,2022-05-11,1.6347697035949296e-7,1.2,0,0
United States,US,USA,en.wikipedia,Q7476596,5069414,Genital herpes,2022-05-11,NA,1.2,0,0
United States,US,USA,en.wikipedia,Q208726,188665,Genital wart,2022-05-11,NA,1.2,0,0
United States,US,USA,en.wikipedia,Q86,69893,Headache,2022-05-11,NA,1.2,0,0
United States,US,USA,en.wikipedia,Q6473911,21323216,Herpes,2022-05-11,NA,1.2,0,0
United States,US,USA,en.wikipedia,Q6473911,21323216,Herpes simplex,2022-05-11,2.789770037656565e-7,1.2,0,0
United States,US,USA,en.wikipedia,Q655331,4774419,Herpes simplex virus,2022-05-11,2.4948007215731316e-7,1.2,0,0
United States,US,USA,en.wikipedia,Q827023,324927,Lesion,2022-05-11,NA,1.2,0,0
United States,US,USA,en.wikipedia,Q474959,149467,Myalgia,2022-05-11,NA,1.2,0,0
United States,US,USA,en.wikipedia,Q740335,2591633,Orthopoxvirus,2022-05-11,NA,1.2,0,0
United States,US,USA,en.wikipedia,Q182155,443800,Shingles,2022-05-11,4.6866359709039423e-7,1.2,0,0
United States,US,USA,en.wikipedia,Q12214,16829895,Smallpox,2022-05-11,4.605785947519628e-7,1.2,0,0
United States,US,USA,en.wikipedia,Q1292082,310094,Sore throat,2022-05-11,1.879985159134169e-7,1.2,0,0
United States,US,USA,en.wikipedia,Q101971,34049,Wart,2022-05-11,1.8657697704072567e-7,1.2,0,0
United States,US,USA,en.wikipedia,Q382370,242702,Mpox,2022-05-11,9.055202619043219e-8,1.2,0,0
United States,US,USA,en.wikipedia,Q199615,37636,Encephalitis,2022-05-12,2.471700714891899e-7,1.3333333333333335,0,0
United States,US,USA,en.wikipedia,Q38933,46253,Fever,2022-05-12,1.6347697035949296e-7,1.3333333333333335,0,0
United States,US,USA,en.wikipedia,Q7476596,5069414,Genital herpes,2022-05-12,NA,1.3333333333333335,0,0
United States,US,USA,en.wikipedia,Q208726,188665,Genital wart,2022-05-12,NA,1.3333333333333335,0,0
United States,US,USA,en.wikipedia,Q86,69893,Headache,2022-05-12,NA,1.3333333333333335,0,0
United States,US,USA,en.wikipedia,Q6473911,21323216,Herpes,2022-05-12,NA,1.3333333333333335,0,0
United States,US,USA,en.wikipedia,Q6473911,21323216,Herpes simplex,2022-05-12,2.789770037656565e-7,1.3333333333333335,0,0
United States,US,USA,en.wikipedia,Q655331,4774419,Herpes simplex virus,2022-05-12,2.4948007215731316e-7,1.3333333333333335,0,0
United States,US,USA,en.wikipedia,Q827023,324927,Lesion,2022-05-12,NA,1.3333333333333335,0,0
United States,US,USA,en.wikipedia,Q474959,149467,Myalgia,2022-05-12,NA,1.3333333333333335,0,0
United States,US,USA,en.wikipedia,Q740335,2591633,Orthopoxvirus,2022-05-12,NA,1.3333333333333335,0,0
United States,US,USA,en.wikipedia,Q182155,443800,Shingles,2022-05-12,4.6866359709039423e-7,1.3333333333333335,0,0
United States,US,USA,en.wikipedia,Q1292082,310094,Sore throat,2022-05-12,1.879985159134169e-7,1.3333333333333335,0,0
United States,US,USA,en.wikipedia,Q101971,34049,Wart,2022-05-12,1.8657697704072567e-7,1.3333333333333335,0,0
United States,US,USA,en.wikipedia,Q382370,242702,Mpox,2022-05-12,7.546002182536015e-8,1.3333333333333335,0,0
United States,US,USA,en.wikipedia,Q199615,37636,Encephalitis,2022-05-13,2.471700714891899e-7,2.1428571428571432,0,0
United States,US,USA,en.wikipedia,Q38933,46253,Fever,2022-05-13,1.6347697035949296e-7,2.1428571428571432,0,0
United States,US,USA,en.wikipedia,Q7476596,5069414,Genital herpes,2022-05-13,NA,2.1428571428571432,0,0
United States,US,USA,en.wikipedia,Q208726,188665,Genital wart,2022-05-13,NA,2.1428571428571432,0,0
United States,US,USA,en.wikipedia,Q86,69893,Headache,2022-05-13,NA,2.1428571428571432,0,0
United States,US,USA,en.wikipedia,Q6473911,21323216,Herpes,2022-05-13,NA,2.1428571428571432,0,0
United States,US,USA,en.wikipedia,Q6473911,21323216,Herpes simplex,2022-05-13,2.789770037656565e-7,2.1428571428571432,0,0
United States,US,USA,en.wikipedia,Q655331,4774419,Herpes simplex virus,2022-05-13,2.4948007215731316e-7,2.1428571428571432,0,0
United States,US,USA,en.wikipedia,Q827023,324927,Lesion,2022-05-13,NA,2.1428571428571432,0,0
United States,US,USA,en.wikipedia,Q474959,149467,Myalgia,2022-05-13,NA,2.1428571428571432,0,0
United States,US,USA,en.wikipedia,Q740335,2591633,Orthopoxvirus,2022-05-13,NA,2.1428571428571432,0,0
United States,US,USA,en.wikipedia,Q182155,443800,Shingles,2022-05-13,4.6866359709039423e-7,2.1428571428571432,0,0
United States,US,USA,en.wikipedia,Q1292082,310094,Sore throat,2022-05-13,1.8213466806356553e-7,2.1428571428571432,0,0
United States,US,USA,en.wikipedia,Q101971,34049,Wart,2022-05-13,1.8657697704072567e-7,2.1428571428571432,0,0
United States,US,USA,en.wikipedia,Q382370,242702,Mpox,2022-05-13,6.468001870745157e-8,2.1428571428571432,0,0
United States,US,USA,en.wikipedia,Q199615,37636,Encephalitis,2022-05-14,2.471700714891899e-7,2.4285714285714284,0.14285714285714288,0.14285714285714288
United States,US,USA,en.wikipedia,Q38933,46253,Fever,2022-05-14,1.6347697035949296e-7,2.4285714285714284,0.14285714285714288,0.14285714285714288
United States,US,USA,en.wikipedia,Q7476596,5069414,Genital herpes,2022-05-14,NA,2.4285714285714284,0.14285714285714288,0.14285714285714288
United States,US,USA,en.wikipedia,Q208726,188665,Genital wart,2022-05-14,NA,2.4285714285714284,0.14285714285714288,0.14285714285714288
United States,US,USA,en.wikipedia,Q86,69893,Headache,2022-05-14,NA,2.4285714285714284,0.14285714285714288,0.14285714285714288
United States,US,USA,en.wikipedia,Q6473911,21323216,Herpes,2022-05-14,NA,2.4285714285714284,0.14285714285714288,0.14285714285714288
United States,US,USA,en.wikipedia,Q6473911,21323216,Herpes simplex,2022-05-14,2.789770037656565e-7,2.4285714285714284,0.14285714285714288,0.14285714285714288
United States,US,USA,en.wikipedia,Q655331,4774419,Herpes simplex virus,2022-05-14,2.4948007215731316e-7,2.4285714285714284,0.14285714285714288,0.14285714285714288
United States,US,USA,en.wikipedia,Q827023,324927,Lesion,2022-05-14,NA,2.4285714285714284,0.14285714285714288,0.14285714285714288
United States,US,USA,en.wikipedia,Q474959,149467,Myalgia,2022-05-14,NA,2.4285714285714284,0.14285714285714288,0.14285714285714288
United States,US,USA,en.wikipedia,Q740335,2591633,Orthopoxvirus,2022-05-14,NA,2.4285714285714284,0.14285714285714288,0.14285714285714288
United States,US,USA,en.wikipedia,Q182155,443800,Shingles,2022-05-14,4.6188167205192977e-7,2.4285714285714284,0.14285714285714288,0.14285714285714288
United States,US,USA,en.wikipedia,Q1292082,310094,Sore throat,2022-05-14,1.8213466806356553e-7,2.4285714285714284,0.14285714285714288,0.14285714285714288
United States,US,USA,en.wikipedia,Q101971,34049,Wart,2022-05-14,1.8657697704072567e-7,2.4285714285714284,0.14285714285714288,0.14285714285714288
United States,US,USA,en.wikipedia,Q382370,242702,Mpox,2022-05-14,6.468001870745157e-8,2.4285714285714284,0.14285714285714288,0.14285714285714288
United States,US,USA,en.wikipedia,Q199615,37636,Encephalitis,2022-05-15,2.471700714891899e-7,2,3,0.14285714285714288
United States,US,USA,en.wikipedia,Q38933,46253,Fever,2022-05-15,1.6347697035949296e-7,2,3,0.14285714285714288
United States,US,USA,en.wikipedia,Q7476596,5069414,Genital herpes,2022-05-15,NA,2,3,0.14285714285714288
United States,US,USA,en.wikipedia,Q208726,188665,Genital wart,2022-05-15,NA,2,3,0.14285714285714288
United States,US,USA,en.wikipedia,Q86,69893,Headache,2022-05-15,NA,2,3,0.14285714285714288
United States,US,USA,en.wikipedia,Q6473911,21323216,Herpes,2022-05-15,NA,2,3,0.14285714285714288
United States,US,USA,en.wikipedia,Q6473911,21323216,Herpes simplex,2022-05-15,2.9591700866522714e-7,2,3,0.14285714285714288
United States,US,USA,en.wikipedia,Q655331,4774419,Herpes simplex virus,2022-05-15,2.674862312114022e-7,2,3,0.14285714285714288
United States,US,USA,en.wikipedia,Q827023,324927,Lesion,2022-05-15,NA,2,3,0.14285714285714288
United States,US,USA,en.wikipedia,Q474959,149467,Myalgia,2022-05-15,NA,2,3,0.14285714285714288
United States,US,USA,en.wikipedia,Q740335,2591633,Orthopoxvirus,2022-05-15,1.744938966228501e-7,2,3,0.14285714285714288
United States,US,USA,en.wikipedia,Q182155,443800,Shingles,2022-05-15,4.914970652329973e-7,2,3,0.14285714285714288
United States,US,USA,en.wikipedia,Q1292082,310094,Sore throat,2022-05-15,1.8213466806356553e-7,2,3,0.14285714285714288
United States,US,USA,en.wikipedia,Q101971,34049,Wart,2022-05-15,1.8657697704072567e-7,2,3,0.14285714285714288
United States,US,USA,en.wikipedia,Q382370,242702,Mpox,2022-05-15,5.318078461228848e-7,2,3,0.14285714285714288
United States,US,USA,en.wikipedia,Q199615,37636,Encephalitis,2022-05-16,2.4539314789832586e-7,2.4285714285714284,8.285714285714286,0.14285714285714288
United States,US,USA,en.wikipedia,Q38933,46253,Fever,2022-05-16,NA,2.4285714285714284,8.285714285714286,0.14285714285714288
United States,US,USA,en.wikipedia,Q7476596,5069414,Genital herpes,2022-05-16,NA,2.4285714285714284,8.285714285714286,0.14285714285714288
