country,iso2,iso3,cases,project,wikidata_id,page_title,page_id,date,pct_pageviews,pageviews,pageviews_ceil
United States,US,USA,0,en.wikipedia,Q199615,Encephalitis,37636,2022-01-15,2.093398079886839e-7,605,2890038000
United States,US,USA,0,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-01-15,2.9549784466501825e-7,854,2890038000
United States,US,USA,0,en.wikipedia,Q12214,Smallpox,16829895,2022-01-15,9.269774307465854e-7,2679,2890038000
United States,US,USA,0,en.wikipedia,Q12214,Smallpox,16829895,2022-01-16,8.110619998768182e-7,2344,2890038000
United States,US,USA,0,en.wikipedia,Q199615,Encephalitis,37636,2022-01-17,2.107238728348901e-7,609,2890038000
United States,US,USA,0,en.wikipedia,Q12214,Smallpox,16829895,2022-01-17,8.909917447452248e-7,2575,2890038000
United States,US,USA,0,en.wikipedia,Q182155,Shingles,443800,2022-01-18,5.217924470197278e-7,1508,2890038000
United States,US,USA,0,en.wikipedia,Q1292082,Sore throat,310094,2022-01-18,2.4774760747090525e-7,716,2890038000
United States,US,USA,0,en.wikipedia,Q182155,Shingles,443800,2022-01-19,5.145261065771453e-7,1487,2890038000
United States,US,USA,0,en.wikipedia,Q1292082,Sore throat,310094,2022-01-19,2.141840349504055e-7,619,2890038000
United States,US,USA,0,en.wikipedia,Q1292082,Sore throat,310094,2022-01-20,2.190282619121271e-7,633,2890038000
United States,US,USA,0,en.wikipedia,Q199615,Encephalitis,37636,2022-01-21,2.2179639160453946e-7,641,2890038000
United States,US,USA,0,en.wikipedia,Q38933,Fever,46253,2022-01-21,1.8511867318007585e-7,535,2890038000
United States,US,USA,0,en.wikipedia,Q6473911,Herpes simplex,21323216,2022-01-21,2.577820776059e-7,745,2890038000
United States,US,USA,0,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-01-21,2.647024018369309e-7,765,2890038000
United States,US,USA,0,en.wikipedia,Q199615,Encephalitis,37636,2022-01-22,2.0657167829627153e-7,597,2890038000
United States,US,USA,0,en.wikipedia,Q6473911,Herpes simplex,21323216,2022-01-22,2.22142407816091e-7,642,2890038000
United States,US,USA,0,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-01-22,2.743908557603741e-7,793,2890038000
United States,US,USA,0,en.wikipedia,Q182155,Shingles,443800,2022-01-22,4.91343020403192e-7,1420,2890038000
United States,US,USA,0,en.wikipedia,Q12214,Smallpox,16829895,2022-01-22,6.816519367565409e-7,1970,2890038000
United States,US,USA,0,en.wikipedia,Q101971,Wart,34049,2022-01-22,1.688559112371533e-7,488,2890038000
United States,US,USA,0,en.wikipedia,Q1292082,Sore throat,310094,2022-01-23,1.7646826789128725e-7,510,2890038000
United States,US,USA,0,en.wikipedia,Q199615,Encephalitis,37636,2022-01-24,1.965372081612768e-7,568,2890038000
United States,US,USA,0,en.wikipedia,Q38933,Fever,46253,2022-01-24,1.5882144110215853e-7,459,2890038000
United States,US,USA,0,en.wikipedia,Q6473911,Herpes simplex,21323216,2022-01-24,2.321768779510858e-7,671,2890038000
United States,US,USA,0,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-01-24,2.3529102385504965e-7,680,2890038000
United States,US,USA,0,en.wikipedia,Q1292082,Sore throat,310094,2022-01-24,1.6850989502560176e-7,487,2890038000
United States,US,USA,0,en.wikipedia,Q6473911,Herpes simplex,21323216,2022-01-25,2.474015912593537e-7,715,2890038000
United States,US,USA,0,en.wikipedia,Q182155,Shingles,443800,2022-01-25,5.536259384824698e-7,1600,2890038000
United States,US,USA,0,en.wikipedia,Q199615,Encephalitis,37636,2022-01-26,2.02419483757653e-7,585,2890038000
United States,US,USA,0,en.wikipedia,Q38933,Fever,46253,2022-01-26,1.5916745731371006e-7,460,2890038000
United States,US,USA,0,en.wikipedia,Q6473911,Herpes simplex,21323216,2022-01-26,2.4774760747090525e-7,716,2890038000
United States,US,USA,0,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-01-26,2.909996339148482e-7,841,2890038000
United States,US,USA,0,en.wikipedia,Q1292082,Sore throat,310094,2022-01-26,1.5605331140974617e-7,451,2890038000
United States,US,USA,0,en.wikipedia,Q6473911,Herpes simplex,21323216,2022-01-27,2.640103694138278e-7,763,2890038000
