country_long,iso2,project,wikidata_id,page_title,page_id,date,pct_pageviews,pageviews,pageviews_ceil
Japan,JP,ja.wikipedia,Q12214,天然痘,31036,2022-01-03,9.428239195380734e-7,990,1050037000
United States of America,US,en.wikipedia,Q199615,Encephalitis,37636,2022-01-03,1.8027444621835423e-7,521,2890038000
United States of America,US,en.wikipedia,Q101971,Wart,34049,2022-01-03,2.498237047402145e-7,722,2890038000
United States of America,US,en.wikipedia,Q38933,Fever,46253,2022-01-03,2.055336296616169e-7,594,2890038000
Poland,PL,pl.wikipedia,Q12214,Ospa prawdziwa,23002,2022-01-04,2.005873509227018e-6,515,256746000
France,FR,fr.wikipedia,Q12214,Variole,96078,2022-01-04,1.4625566972137368e-6,790,540150000
United States of America,US,en.wikipedia,Q382370,Monkeypox,242702,2022-01-04,3.349436927818942e-7,968,2890038000
United States of America,US,en.wikipedia,Q182155,Herpes zoster,443800,2022-01-04,5.456675656167843e-7,1577,2890038000
Germany,DE,de.wikipedia,Q186235,Myokarditis,335872,2022-01-04,8.813069307425074e-7,706,801083000
United States of America,US,en.wikipedia,Q1292082,Sore throat,310094,2022-01-04,3.4843832503240444e-7,1007,2890038000
Poland,PL,pl.wikipedia,Q12214,Ospa prawdziwa,23002,2022-01-05,2.111035809710765e-6,542,256746000
France,FR,fr.wikipedia,Q12214,Variole,96078,2022-01-05,2.1031195038415255e-6,1136,540150000
Canada,CA,en.wikipedia,Q186235,Myocarditis,452461,2022-01-05,1.309807500549274e-6,465,355014000
United States of America,US,en.wikipedia,Q182155,Herpes zoster,443800,2022-01-05,5.98954062195722e-7,1731,2890038000
Germany,DE,de.wikipedia,Q186235,Myokarditis,335872,2022-01-05,8.775620004419017e-7,703,801083000
United States of America,US,en.wikipedia,Q1292082,Sore throat,310094,2022-01-05,3.4394011428223433e-7,994,2890038000
Austria,AT,de.wikipedia,Q12214,Pocken,4049,2022-01-06,3.816221825099441e-5,3310,86735000
France,FR,fr.wikipedia,Q12214,Variole,96078,2022-01-06,2.278996575025456e-6,1231,540150000
Italy,IT,it.wikipedia,Q1037810,Vaccino anti-vaiolo,4717640,2022-01-06,1.1146140693874312e-6,618,554452000
United States of America,US,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-01-06,2.4636354262469906e-7,712,2890038000
Italy,IT,it.wikipedia,Q12214,Vaiolo,555706,2022-01-06,2.8208032435630137e-6,1564,554452000
United Kingdom,GB,en.wikipedia,Q186235,Myocarditis,452461,2022-01-06,8.590038459691049e-7,769,895223000
United States of America,US,en.wikipedia,Q40878,Diarrhea,53951,2022-01-06,1.9619119194972523e-7,567,2890038000
Malaysia,MY,en.wikipedia,Q40878,Diarrhea,53951,2022-01-06,9.906200662477169e-6,640,64606000
Spain,ES,es.wikipedia,Q12214,Viruela,41754,2022-01-06,1.919952125869069e-6,462,240631000
Germany,DE,de.wikipedia,Q186235,Myokarditis,335872,2022-01-06,8.600856590390759e-7,689,801083000
United States of America,US,en.wikipedia,Q1292082,Sore throat,310094,2022-01-06,3.1695084978121393e-7,916,2890038000
Austria,AT,de.wikipedia,Q12214,Pocken,4049,2022-01-07,1.4261832017063469e-5,1237,86735000
France,FR,fr.wikipedia,Q12214,Variole,96078,2022-01-07,2.575210589651023e-6,1391,540150000
Canada,CA,en.wikipedia,Q186235,Myocarditis,452461,2022-01-07,1.526700355478939e-6,542,355014000
Italy,IT,it.wikipedia,Q1037810,Vaccino anti-vaiolo,4717640,2022-01-07,9.739346237365905e-7,540,554452000
United States of America,US,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-01-07,3.453241791284405e-7,998,2890038000
Taiwan,TW,zh.wikipedia,Q12214,天花,1382,2022-01-07,1.933955622551496e-6,467,241474000
Italy,IT,it.wikipedia,Q12214,Vaiolo,555706,2022-01-07,2.456479550980067e-6,1362,554452000
United Kingdom,GB,en.wikipedia,Q186235,Myocarditis,452461,2022-01-07,6.89213748976512e-7,617,895223000
United States of America,US,en.wikipedia,Q40878,Diarrhea,53951,2022-01-07,1.7543021925663262e-7,507,2890038000
Malaysia,MY,en.wikipedia,Q40878,Diarrhea,53951,2022-01-07,8.513141194316318e-6,550,64606000
Spain,ES,es.wikipedia,Q12214,Viruela,41754,2022-01-07,1.907484904272517e-6,459,240631000
Germany,DE,de.wikipedia,Q186235,Myokarditis,335872,2022-01-07,1.0123794912637018e-6,811,801083000
United States of America,US,en.wikipedia,Q12214,Smallpox,16829895,2022-01-07,1.1217845578501045e-6,3242,2890038000
Germany,DE,de.wikipedia,Q12214,Pocken,4049,2022-01-07,1.7114331473767388e-6,1371,801083000
Germany,DE,de.wikipedia,Q1037810,Pockenimpfstoff,8841370,2022-01-07,5.717260258924481e-7,458,801083000
France,FR,fr.wikipedia,Q186235,Myocardite,191116,2022-01-07,1.0608164398778117e-6,573,540150000
United Kingdom,GB,en.wikipedia,Q12214,Smallpox,16829895,2022-01-07,7.472998347897674e-7,669,895223000
Japan,JP,ja.wikipedia,Q12214,天然痘,31036,2022-01-07,7.704490413194964e-7,809,1050037000
United Kingdom,GB,en.wikipedia,Q40878,Diarrhea,53951,2022-01-08,6.288935829396698e-7,563,895223000
Austria,AT,de.wikipedia,Q12214,Pocken,4049,2022-01-08,6.295036605753156e-6,546,86735000
France,FR,fr.wikipedia,Q12214,Variole,96078,2022-01-08,2.321577339627881e-6,1254,540150000
Canada,CA,en.wikipedia,Q186235,Myocarditis,452461,2022-01-08,1.735142839437318e-6,616,355014000
Italy,IT,it.wikipedia,Q12214,Vaiolo,555706,2022-01-08,2.503372699530347e-6,1388,554452000
United Kingdom,GB,en.wikipedia,Q186235,Myocarditis,452461,2022-01-08,5.875630988033149e-7,526,895223000
United States of America,US,en.wikipedia,Q40878,Diarrhea,53951,2022-01-08,2.0518761345006537e-7,593,2890038000
Malaysia,MY,en.wikipedia,Q40878,Diarrhea,53951,2022-01-08,7.863046775841253e-6,508,64606000
Spain,ES,es.wikipedia,Q12214,Viruela,41754,2022-01-08,3.262256317764544e-6,785,240631000
Germany,DE,de.wikipedia,Q186235,Myokarditis,335872,2022-01-08,1.1921361456927685e-6,955,801083000
Australia,AU,en.wikipedia,Q186235,Myocarditis,452461,2022-01-08,5.83081360729393e-6,1508,258626000
United States of America,US,en.wikipedia,Q12214,Smallpox,16829895,2022-01-08,9.806099435370745e-7,2834,2890038000
Germany,DE,de.wikipedia,Q12214,Pocken,4049,2022-01-08,1.6065750989597833e-6,1287,801083000
Germany,DE,de.wikipedia,Q1037810,Pockenimpfstoff,8841370,2022-01-08,5.966922278964852e-7,478,801083000
France,FR,fr.wikipedia,Q186235,Myocardite,191116,2022-01-08,1.038600388780894e-6,561,540150000
United States of America,US,en.wikipedia,Q167844,Conjunctivitis,44410,2022-01-08,1.7992843000680267e-7,520,2890038000
United Kingdom,GB,en.wikipedia,Q12214,Smallpox,16829895,2022-01-08,6.143720614863559e-7,550,895223000
Japan,JP,ja.wikipedia,Q12214,天然痘,31036,2022-01-08,8.133046740257724e-7,854,1050037000
United States of America,US,en.wikipedia,Q199615,Encephalitis,37636,2022-01-08,1.9480712710351906e-7,563,2890038000
United States of America,US,en.wikipedia,Q38933,Fever,46253,2022-01-08,1.9619119194972523e-7,567,2890038000
Poland,PL,pl.wikipedia,Q12214,Ospa prawdziwa,23002,2022-01-09,1.803338708295358e-6,463,256746000
Austria,AT,de.wikipedia,Q12214,Pocken,4049,2022-01-09,6.721623335447051e-6,583,86735000
France,FR,fr.wikipedia,Q12214,Variole,96078,2022-01-09,2.447468295843747e-6,1322,540150000
Canada,CA,en.wikipedia,Q186235,Myocarditis,452461,2022-01-09,1.6675398716670328e-6,592,355014000
Italy,IT,it.wikipedia,Q1037810,Vaccino anti-vaiolo,4717640,2022-01-09,1.2516863497651735e-6,694,554452000
United States of America,US,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-01-09,2.515537857979722e-7,727,2890038000
Taiwan,TW,zh.wikipedia,Q12214,天花,1382,2022-01-09,2.0209215070773665e-6,488,241474000
United States of America,US,en.wikipedia,Q182155,Shingles,443800,2022-01-09,5.190243173273154e-7,1500,2890038000
United States of America,US,en.wikipedia,Q1292082,Sore throat,310094,2022-01-09,2.498237047402145e-7,722,2890038000
United States of America,US,en.wikipedia,Q199615,Encephalitis,37636,2022-01-09,2.2906273204712187e-7,662,2890038000
United States of America,US,en.wikipedia,Q38933,Fever,46253,2022-01-09,2.0172745133454992e-7,583,2890038000
France,FR,fr.wikipedia,Q12214,Variole,96078,2022-01-10,2.440062945478108e-6,1318,540150000
Canada,CA,en.wikipedia,Q186235,Myocarditis,452461,2022-01-10,1.9520356943669827e-6,693,355014000
United States of America,US,en.wikipedia,Q182155,Shingles,443800,2022-01-10,5.847673975221087e-7,1690,2890038000
Australia,AU,en.wikipedia,Q186235,Myocarditis,452461,2022-01-10,2.5132817272818663e-6,650,258626000
United States of America,US,en.wikipedia,Q12214,Smallpox,16829895,2022-01-10,9.7507368415225e-7,2818,2890038000
Germany,DE,de.wikipedia,Q12214,Pocken,4049,2022-01-10,1.8337675371965201e-6,1469,801083000
Germany,DE,de.wikipedia,Q1037810,Pockenimpfstoff,8841370,2022-01-10,5.729743359926499e-7,459,801083000
United Kingdom,GB,en.wikipedia,Q12214,Smallpox,16829895,2022-01-10,5.797438180207613e-7,519,895223000
Japan,JP,ja.wikipedia,Q12214,天然痘,31036,2022-01-10,9.35205140390291e-7,982,1050037000
Poland,PL,pl.wikipedia,Q12214,Ospa prawdziwa,23002,2022-01-11,1.795548908259525e-6,461,256746000
France,FR,fr.wikipedia,Q12214,Variole,96078,2022-01-11,2.019809312228085e-6,1091,540150000
Canada,CA,en.wikipedia,Q186235,Myocarditis,452461,2022-01-11,1.4957156619175583e-6,531,355014000
Italy,IT,it.wikipedia,Q12214,Vaiolo,555706,2022-01-11,2.584533918175063e-6,1433,554452000
United Kingdom,GB,en.wikipedia,Q186235,Myocarditis,452461,2022-01-11,7.472998347897674e-7,669,895223000
United States of America,US,en.wikipedia,Q40878,Diarrhea,53951,2022-01-11,2.2352647266229718e-7,646,2890038000
Malaysia,MY,en.wikipedia,Q40878,Diarrhea,53951,2022-01-11,1.043246757267127e-5,674,64606000
Spain,ES,es.wikipedia,Q12214,Viruela,41754,2022-01-11,2.8092805997564737e-6,676,240631000
Germany,DE,de.wikipedia,Q186235,Myokarditis,335872,2022-01-11,1.2046192466947868e-6,965,801083000
Australia,AU,en.wikipedia,Q186235,Myocarditis,452461,2022-01-11,2.3392853000085066e-6,605,258626000
United States of America,US,en.wikipedia,Q12214,Smallpox,16829895,2022-01-11,9.076005228996989e-7,2623,2890038000
