"","Fitting parameter","mpox","included_articles","mpox_covars","included_articles_covars"
"1","R²",0.494877966533612,0.730051005617916,0.74422676040474,0.816753435753432
"2","Adjusted R²",0.493859575337108,0.725072438098575,0.742673481621772,0.812605879772542
"3","AIC",5821.43914842875,5525.40877293967,5486.54577529157,5336.48335388877
"4","BIC",5834.07094865982,5571.72537378694,5507.59877567669,5391.22115489009
