Fitting parameter,mpox,included_articles,mpox_covars,included_articles_covars
R²,0.4948602323030766,0.7297573382018847,0.7460260162522754,0.8163077706401911
Adjusted R²,0.4938418053520748,0.7247733546851162,0.7444836641242527,0.8121501275888374
AIC,5821.377357766866,5525.870959512861,5482.950902854917,5337.613770662401
BIC,5834.00915799794,5572.187560360132,5504.003903240041,5392.351571663722
