"","Model","term","estimate","std.error","statistic","p.value"
"1","mpox","(Intercept)",51.3682077600552,7.92704540061381,6.48012029249607,4.32881754699616e-10
"2","mpox","Mpox",35948609.9678329,2648293.60881104,13.5742539453441,2.38471605555594e-32
"3","included_articles","(Intercept)",429.60806591043,237.833950662987,1.8063361631628,0.0720002687009438
"4","included_articles","Smallpox",313339493.56781,21164414.9143774,14.8050156281407,1.49872956935262e-36
"5","included_articles","Shingles",-168644815.744559,69771283.6737857,-2.41710925848884,0.0163199355689528
"6","included_articles","Wart",4330566786.61092,306684353.400494,14.1205990413072,3.8841573110453e-34
"7","included_articles","Poxviridae",-3497361203.57803,749732380.986658,-4.66481279490083,4.90515741372449e-06
"8","included_articles","Tecovirimat",1163498400.3344,230668011.103734,5.04403881044069,8.46736825212873e-07
"9","included_articles","Headache",-4879775177.86684,1635722731.17498,-2.98325326466643,0.00311789293910256
"10","mpox_covars","(Intercept)",-120.970125182782,13.4671287187478,-8.98262188690437,4.82705512988743e-17
"11","mpox_covars","Mpox",4660066.69006711,4460739.80724908,1.04468471406786,0.297110074067347
"12","mpox_covars","roll_n_articles",6.99326117270843,1.06785154291355,6.54890768208083,2.94554713355347e-10
"13","mpox_covars","roll_n_studies",20.5121540707582,1.71413380371714,11.9664836118844,1.00224629793788e-26
"14","included_articles_covars","(Intercept)",2011.43718638545,159.178927094841,12.6363283324997,6.37308147018464e-29
"15","included_articles_covars","Smallpox",37759063.2555285,17017854.66424,2.21879102862904,0.0273548402779383
"16","included_articles_covars","Shingles",16986722.5887283,40939174.3182529,0.414925871652342,0.678534436557158
"17","included_articles_covars","Wart",1310447745.9423,220504575.764415,5.9429503510275,8.85404754110118e-09
"18","included_articles_covars","Poxviridae",-2083912579.53801,433893015.102342,-4.80282582803616,2.62973427976077e-06
"19","included_articles_covars","Tecovirimat",-205017644.794265,144237835.16321,-1.42138603621083,0.156389225720766
"20","included_articles_covars","Headache",-11950514356.9687,1010031213.04458,-11.8318267818137,3.51400702347684e-26
"21","included_articles_covars","roll_n_articles",11.0320531003021,0.519755640878908,21.2254610294307,6.1901364351761e-59
"22","included_articles_covars","roll_n_studies",7.73549706128307,1.12141443288777,6.8979824357738,3.91970879822349e-11
