"","Model","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs"
"1","mpox",0.405627217938122,0.403425837263819,108.562878840622,184.26037017269,2.38471605555601e-32,1,-1659.90121957941,3325.80243915882,3336.6198453577,3182192.63878416,270,272
"2","included_articles",0.710517874562226,0.703963562288163,76.4753927242974,108.404641837701,2.10793170963372e-68,6,-1562.06103124554,3140.12206249108,3168.96847902145,1549848.70846891,265,272
"3","mpox_covars",0.707765878969765,0.704494601495546,76.4067699880037,216.357641486444,2.82339000323745e-71,3,-1563.34782423107,3136.69564846213,3154.72465879361,1564582.52599992,268,272
"4","included_articles_covars",0.906809222018476,0.903974521547555,43.5554365504718,319.895957728432,8.79767933134716e-131,8,-1407.91254060353,2835.82508120705,2871.88310187001,498931.001965871,263,272
