search_term,date,n_articles
monkeypox,2022-08-01,26
monkeypox,2022-08-02,64
monkeypox,2022-08-03,32
monkeypox,2022-08-04,78
monkeypox,2022-08-05,43
monkeypox,2022-08-06,13
monkeypox,2022-08-07,8
monkeypox,2022-08-08,22
monkeypox,2022-08-09,55
monkeypox,2022-08-10,42
monkeypox,2022-08-11,37
monkeypox,2022-08-12,24
monkeypox,2022-08-13,9
monkeypox,2022-08-14,7
monkeypox,2022-08-15,31
monkeypox,2022-08-16,23
monkeypox,2022-08-17,36
monkeypox,2022-08-18,43
monkeypox,2022-08-19,19
monkeypox,2022-08-20,5
monkeypox,2022-08-21,11
monkeypox,2022-08-22,17
monkeypox,2022-08-23,29
monkeypox,2022-08-24,18
monkeypox,2022-08-25,28
monkeypox,2022-08-26,39
monkeypox,2022-08-27,4
monkeypox,2022-08-28,4
monkeypox,2022-08-29,13
monkeypox,2022-08-30,25
monkeypox,2022-08-31,10
monkeypox,2022-09-01,12
monkeypox,2022-09-02,12
monkeypox,2022-09-03,2
monkeypox,2022-09-04,2
monkeypox,2022-09-05,5
monkeypox,2022-09-06,8
monkeypox,2022-09-07,7
monkeypox,2022-09-08,14
monkeypox,2022-09-09,12
monkeypox,2022-09-10,2
monkeypox,2022-09-11,0
monkeypox,2022-09-12,5
monkeypox,2022-09-13,13
monkeypox,2022-09-14,10
monkeypox,2022-09-15,14
monkeypox,2022-09-16,5
monkeypox,2022-09-17,1
monkeypox,2022-09-18,2
monkeypox,2022-09-19,7
monkeypox,2022-09-20,9
monkeypox,2022-09-21,1
monkeypox,2022-09-22,6
monkeypox,2022-09-23,3
monkeypox,2022-09-24,0
monkeypox,2022-09-25,1
monkeypox,2022-09-26,4
monkeypox,2022-09-27,2
monkeypox,2022-09-28,10
monkeypox,2022-09-29,7
monkeypox,2022-09-30,7
monkeypox,2022-10-01,1
monkeypox,2022-10-02,0
monkeypox,2022-10-03,2
monkeypox,2022-10-04,3
monkeypox,2022-10-05,3
monkeypox,2022-10-06,4
monkeypox,2022-10-07,2
monkeypox,2022-10-08,0
monkeypox,2022-10-09,0
monkeypox,2022-10-10,0
monkeypox,2022-10-11,1
monkeypox,2022-10-12,0
monkeypox,2022-10-13,3
monkeypox,2022-10-14,0
monkeypox,2022-10-15,0
monkeypox,2022-10-16,0
monkeypox,2022-10-17,1
monkeypox,2022-10-18,0
monkeypox,2022-10-19,1
monkeypox,2022-10-20,3
monkeypox,2022-10-21,6
monkeypox,2022-10-22,1
monkeypox,2022-10-23,3
monkeypox,2022-10-24,1
monkeypox,2022-10-25,0
monkeypox,2022-10-26,2
monkeypox,2022-10-27,1
monkeypox,2022-10-28,0
monkeypox,2022-10-29,1
monkeypox,2022-10-30,0
monkeypox,2022-10-31,3
monkeypox,2022-11-01,0
monkeypox,2022-11-02,2
monkeypox,2022-11-03,1
monkeypox,2022-11-04,0
monkeypox,2022-11-05,0
