project,page_name,redirect_name,date,views
ru.wikipedia,Вирус оспы обезьян,NA,2022-08-15,24
ru.wikipedia,Вирус оспы обезьян,NA,2022-08-16,60
ru.wikipedia,Вирус оспы обезьян,NA,2022-08-17,33
ru.wikipedia,Вирус оспы обезьян,NA,2022-08-18,45
ru.wikipedia,Вирус оспы обезьян,NA,2022-08-19,38
ru.wikipedia,Вирус оспы обезьян,NA,2022-08-20,38
ru.wikipedia,Вирус оспы обезьян,NA,2022-08-21,26
ru.wikipedia,Вирус оспы обезьян,NA,2022-08-22,59
ru.wikipedia,Вирус оспы обезьян,NA,2022-08-23,19
ru.wikipedia,Вирус оспы обезьян,NA,2022-08-24,30
ru.wikipedia,Вирус оспы обезьян,NA,2022-08-25,25
ru.wikipedia,Вирус оспы обезьян,NA,2022-08-26,17
ru.wikipedia,Вирус оспы обезьян,NA,2022-08-27,26
ru.wikipedia,Вирус оспы обезьян,NA,2022-08-28,14
ru.wikipedia,Вирус оспы обезьян,NA,2022-08-29,20
ru.wikipedia,Вирус оспы обезьян,NA,2022-08-30,27
ru.wikipedia,Вирус оспы обезьян,NA,2022-08-31,18
ru.wikipedia,Вирус оспы обезьян,NA,2022-09-01,24
ru.wikipedia,Вирус оспы обезьян,NA,2022-09-02,15
ru.wikipedia,Вирус оспы обезьян,NA,2022-09-03,14
ru.wikipedia,Вирус оспы обезьян,NA,2022-09-04,11
ru.wikipedia,Вирус оспы обезьян,NA,2022-09-05,17
ru.wikipedia,Вирус оспы обезьян,NA,2022-09-06,12
ru.wikipedia,Вирус оспы обезьян,NA,2022-09-07,14
ru.wikipedia,Вирус оспы обезьян,NA,2022-09-08,19
ru.wikipedia,Вирус оспы обезьян,NA,2022-09-09,13
ru.wikipedia,Вирус оспы обезьян,NA,2022-09-10,22
ru.wikipedia,Вирус оспы обезьян,NA,2022-09-11,10
ru.wikipedia,Вирус оспы обезьян,NA,2022-09-12,19
ru.wikipedia,Вирус оспы обезьян,NA,2022-09-13,18
ru.wikipedia,Вирус оспы обезьян,NA,2022-09-14,11
ru.wikipedia,Вирус оспы обезьян,NA,2022-09-15,34
ru.wikipedia,Вирус оспы обезьян,NA,2022-09-16,36
ru.wikipedia,Вирус оспы обезьян,NA,2022-09-17,18
ru.wikipedia,Вирус оспы обезьян,NA,2022-09-18,26
ru.wikipedia,Вирус оспы обезьян,NA,2022-09-19,12
ru.wikipedia,Вирус оспы обезьян,NA,2022-09-20,15
ru.wikipedia,Вирус оспы обезьян,NA,2022-09-21,9
ru.wikipedia,Вирус оспы обезьян,NA,2022-09-22,22
ru.wikipedia,Вирус оспы обезьян,NA,2022-09-23,19
ru.wikipedia,Вирус оспы обезьян,NA,2022-09-24,6
ru.wikipedia,Вирус оспы обезьян,NA,2022-09-25,12
ru.wikipedia,Вирус оспы обезьян,NA,2022-09-26,18
ru.wikipedia,Вирус оспы обезьян,NA,2022-09-27,15
ru.wikipedia,Вирус оспы обезьян,NA,2022-09-28,9
ru.wikipedia,Вирус оспы обезьян,NA,2022-09-29,20
ru.wikipedia,Вирус оспы обезьян,NA,2022-09-30,14
ru.wikipedia,Вирус оспы обезьян,NA,2022-10-01,11
ru.wikipedia,Вирус оспы обезьян,NA,2022-10-02,11
ru.wikipedia,Вирус оспы обезьян,NA,2022-10-03,17
ru.wikipedia,Вирус оспы обезьян,NA,2022-10-04,17
ru.wikipedia,Вирус оспы обезьян,NA,2022-10-05,11
ru.wikipedia,Вирус оспы обезьян,NA,2022-10-06,16
ru.wikipedia,Вирус оспы обезьян,NA,2022-10-07,12
ru.wikipedia,Вирус оспы обезьян,NA,2022-10-08,7
ru.wikipedia,Вирус оспы обезьян,NA,2022-10-09,7
ru.wikipedia,Вирус оспы обезьян,NA,2022-10-10,8
ru.wikipedia,Вирус оспы обезьян,NA,2022-10-11,17
ru.wikipedia,Вирус оспы обезьян,NA,2022-10-12,10
ru.wikipedia,Вирус оспы обезьян,NA,2022-10-13,17
ru.wikipedia,Вирус оспы обезьян,NA,2022-10-14,5
